@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R13,4,6,15,9,16-18,10,7,19'

@attribute 'Material Deprivation' numeric
@attribute Affordability numeric
@attribute 'Population Churning' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Income Inequality' numeric
@attribute 'Consumer Opportunity Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Job Participation' numeric
@attribute Education numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
0,0.043043,0.468193,0.540012,0.034818,0.390787,0.006034,0.409863,0.15,0.630734,Bad
0.133458,0.641642,0.022901,0.777319,0.082321,0.764695,0.033064,0.488495,0.373,0.871575,Bad
0.343863,0.627628,0.513995,1,0.395412,0.827284,0.326435,0.355932,0.759,0.853716,Bad
0.228861,0.021021,0.44402,0.561143,0.258974,0.302549,0.183497,0.319484,0.436,0.697862,Bad
0.184284,0.662663,0.427481,0.719178,0,0.773519,0.075911,0.395098,0.551,0.800714,Bad
0.386328,0.660661,0.582697,0.979486,0.475169,0.880676,0.346453,0.37099,0.779,0.902432,Bad
0.219839,0.095095,0.487277,0.678451,0.067072,0.55679,0.096728,0.479308,0.57,0.826806,Bad
0.237509,0.103103,0.412214,0.611398,0.281511,0.450862,0.189756,0.343811,0.5,0.787143,Bad
0.196962,0.179179,0.530534,0.533341,0.282726,0.169058,0.247614,0.237614,0.526,0.61245,Bad
0.338967,0.191191,0.178117,0.587314,0.284615,0.598883,0.119759,0.444563,0.303,0.82962,Bad
0.250534,0.682683,0.479644,0.48031,0.175169,0.694047,0.077203,0.245992,0.375,0.653217,Bad
0.254135,0.662663,0.497455,0.602122,0.17085,0.715899,0.102988,0.50518,0.354,0.697663,Bad
0.717797,0.564565,0.234097,0.597816,0.452767,0.902206,0.145022,0.346529,0.213,1,Bad
0.284302,0.192192,0.43257,0.541058,0.251282,0.609358,0.177157,0.281539,0.555,0.892324,Bad
0.235097,0.193193,0.62341,0.445511,0.646964,0.377512,0.250569,0.188394,0.266,0.691983,Bad
0.438813,0.572573,0.5,0.461993,0.277463,0.716628,0.113289,0.224334,0.331,0.768552,Bad
0.279213,0.271271,0.736641,0.428605,0.238731,0.428311,0.179244,0.121117,0.474,0.646982,Bad
0.444119,0.665666,0.307888,0.486066,0.155061,0.744906,0.110683,0.301537,0.443,0.755599,Bad
0.178984,0.159159,0.720102,0.495545,0.342915,0.383951,0.208147,0.287461,0.52,0.641885,Bad
0.302523,0.708709,0.659033,0.837732,0.475709,0.828389,0.361443,0.375004,0.894,0.888723,Bad
0.309318,0.24024,0.454198,0.587734,0.382051,0.505091,0.240659,0.308397,0.681,0.696356,Bad
0.375164,0.411411,0.413486,0.470461,0.406883,0.56157,0.178722,0.292067,0.399,0.685879,Bad
0.385171,0.144144,0.360051,0.573698,0.169096,0.550999,0.150686,0.624831,0.45,0.815958,Bad
0.302213,0.63964,0.402036,0.561186,0.09865,0.769959,0.117361,0.420617,0.542,0.863229,Bad
0.306139,0.344344,0.732824,0.467962,0.309177,0.538557,0.185737,0.169914,0.473,0.714117,Bad
0.110694,0.038038,0.694656,0.462368,0.25668,0.341948,0.124711,0.674704,0.308,0.592634,Bad
0.265919,0.211211,0.665394,0.464758,0.386505,0.213886,0.274792,0.273587,0.493,0.644115,Bad
0.097222,0.113113,0.778626,0.519821,0.347368,0.357801,0.255577,0.3476,0.644,0.63072,Bad
0.244075,0.678679,0.676845,0.751125,0.336572,0.78908,0.291615,0.344019,0.837,0.858297,Bad
0.299769,0.182182,0.685751,0.407921,0.25641,0.453114,0.174846,0.235938,0.447,0.670669,Bad
0.284449,0.567568,0.624682,0.690588,0.488259,0.67313,0.322098,0.280294,0.768,0.785355,Bad
0.093477,0.072072,0.743003,0.472085,0.383536,0.309573,0.253993,0.355764,0.52,0.620009,Bad
0.280708,0.397397,0.540712,0.349694,0.433198,0.324132,0.171372,0.384331,0.069,0.641537,Bad
0.122664,0.118118,0.834606,0.447153,0.398246,0.262909,0.253892,0.21695,0.556,0.659401,Bad
0.415674,0.196196,0.385496,0.457743,0.334413,0.477782,0.239688,0.225266,0.618,0.752907,Bad
0.130582,0.052052,0.801527,0.45073,0.314845,0.327738,0.212594,0.360429,0.547,0.614367,Bad
0.162923,0.096096,0.759542,0.477339,0.37085,0.355426,0.238812,0.357095,0.563,0.659215,Bad
0.303162,0.346346,0.745547,0.393921,0.253846,0.552899,0.133091,0.216848,0.49,0.664219,Bad
0.19527,0.523524,0.78626,0.717712,0.512821,0.614354,0.359515,0.390476,0.831,0.747167,Bad
0.32334,0.063063,0.917303,0.305606,0.299865,0.415973,0.152325,0.16681,0.465,0.639062,Bad
0.265306,0.182182,0.57888,0.454757,0.325911,0.449217,0.223468,0.259969,0.649,0.738994,Bad
0.244331,0.284284,0.611959,0.442997,0.357625,0.07552,0.327519,0.395023,0.53,0.628834,Bad
0.252291,0.396396,0.375318,0.615318,0.42969,0.594063,0.213203,0.491587,0.639,0.763191,Bad
0.376577,0.457457,0.343511,0.455207,0.466127,0.633226,0.200435,0.212214,0.453,0.791411,Bad
0.134741,0.062062,0.659033,0.397528,0.478003,0.135599,0.26266,0.458258,0.403,0.585199,Bad
0.162869,0.11011,0.707379,0.446766,0.309312,0.3561,0.222267,0.368719,0.586,0.633241,Bad
0.442119,0.64965,0.452926,0.610919,0.407152,0.764296,0.207398,0.385758,0.472,0.812452,Bad
