'Material Deprivation',Affordability,'Income Inequality','Community Environment Profile','Consumer Opportunity Profile','Economic Opportunity Profile','Population Churning',Education,'Job Participation','Employment Accessibility','Access to Care','Health Opportunity Index'
0,0.043043,0.034818,0.540012,0.390787,0.006034,0.468193,0.630734,0.15,0.015251,0.486042,Bad
0.133458,0.641642,0.082321,0.777319,0.764695,0.033064,0.022901,0.871575,0.373,0.042804,0.502987,Bad
0.343863,0.627628,0.395412,1,0.827284,0.326435,0.513995,0.853716,0.759,0.131224,0.432198,Bad
0.228861,0.021021,0.258974,0.561143,0.302549,0.183497,0.44402,0.697862,0.436,0.041683,0.465814,Bad
0.184284,0.662663,0,0.719178,0.773519,0.075911,0.427481,0.800714,0.551,0.084305,0.502987,Bad
0.386328,0.660661,0.475169,0.979486,0.880676,0.346453,0.582697,0.902432,0.779,0.122853,0.46676,Bad
0.219839,0.095095,0.067072,0.678451,0.55679,0.096728,0.487277,0.826806,0.57,0.078102,0.502987,Bad
0.237509,0.103103,0.281511,0.611398,0.450862,0.189756,0.412214,0.787143,0.5,0.055761,0.464126,Bad
0.196962,0.179179,0.282726,0.533341,0.169058,0.247614,0.530534,0.61245,0.526,0.056909,0.348758,Bad
0.338967,0.191191,0.284615,0.587314,0.598883,0.119759,0.178117,0.82962,0.303,0.033116,0.663602,Bad
0.250534,0.682683,0.175169,0.48031,0.694047,0.077203,0.479644,0.653217,0.375,0.01439,0.336592,Bad
0.254135,0.662663,0.17085,0.602122,0.715899,0.102988,0.497455,0.697663,0.354,0.042819,0.651509,Bad
0.717797,0.564565,0.452767,0.597816,0.902206,0.145022,0.234097,1,0.213,0.019118,0.420299,Bad
0.284302,0.192192,0.251282,0.541058,0.609358,0.177157,0.43257,0.892324,0.555,0.079464,0.371854,Bad
0.235097,0.193193,0.646964,0.445511,0.377512,0.250569,0.62341,0.691983,0.266,0.000823,0.263992,Bad
0.438813,0.572573,0.277463,0.461993,0.716628,0.113289,0.5,0.768552,0.331,0.006778,0.241457,Bad
0.279213,0.271271,0.238731,0.428605,0.428311,0.179244,0.736641,0.646982,0.474,0.065167,0.219143,Bad
0.444119,0.665666,0.155061,0.486066,0.744906,0.110683,0.307888,0.755599,0.443,0.04597,0.323681,Bad
0.178984,0.159159,0.342915,0.495545,0.383951,0.208147,0.720102,0.641885,0.52,0.073749,0.445932,Bad
0.302523,0.708709,0.475709,0.837732,0.828389,0.361443,0.659033,0.888723,0.894,0.131422,0.434747,Bad
0.309318,0.24024,0.382051,0.587734,0.505091,0.240659,0.454198,0.696356,0.681,0.084594,0.502987,Bad
0.375164,0.411411,0.406883,0.470461,0.56157,0.178722,0.413486,0.685879,0.399,0.019818,0.464126,Bad
0.385171,0.144144,0.169096,0.573698,0.550999,0.150686,0.360051,0.815958,0.45,0.100387,0.650127,Bad
0.302213,0.63964,0.09865,0.561186,0.769959,0.117361,0.402036,0.863229,0.542,0.073321,0.420299,Bad
0.306139,0.344344,0.309177,0.467962,0.538557,0.185737,0.732824,0.714117,0.473,0.063933,0.293508,Bad
0.110694,0.038038,0.25668,0.462368,0.341948,0.124711,0.694656,0.592634,0.308,0.054666,0.502987,Bad
0.265919,0.211211,0.386505,0.464758,0.213886,0.274792,0.665394,0.644115,0.493,0.077906,0.348758,Bad
0.097222,0.113113,0.347368,0.519821,0.357801,0.255577,0.778626,0.63072,0.644,0.089493,0.464126,Bad
0.244075,0.678679,0.336572,0.751125,0.78908,0.291615,0.676845,0.858297,0.837,0.124969,0.417921,Bad
0.299769,0.182182,0.25641,0.407921,0.453114,0.174846,0.685751,0.670669,0.447,0.068883,0.370109,Bad
0.284449,0.567568,0.488259,0.690588,0.67313,0.322098,0.624682,0.785355,0.768,0.114123,0.442811,Bad
0.093477,0.072072,0.383536,0.472085,0.309573,0.253993,0.743003,0.620009,0.52,0.094406,0.465202,Bad
0.280708,0.397397,0.433198,0.349694,0.324132,0.171372,0.540712,0.641537,0.069,0.015314,0.483901,Bad
0.122664,0.118118,0.398246,0.447153,0.262909,0.253892,0.834606,0.659401,0.556,0.085923,0.348758,Bad
0.415674,0.196196,0.334413,0.457743,0.477782,0.239688,0.385496,0.752907,0.618,0.079559,0.323681,Bad
