@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,13,15,17-19'

@attribute Rural~Urban numeric
@attribute Affordability numeric
@attribute 'Food Accessibility' numeric
@attribute 'Material Deprivation' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
1,0.043043,0.977517,0,0.540012,0.006034,0.409863,Bad
1,0.641642,0.933302,0.133458,0.777319,0.033064,0.488495,Bad
1,0.627628,0.933302,0.343863,1,0.326435,0.355932,Bad
1,0.021021,0.741324,0.228861,0.561143,0.183497,0.319484,Bad
1,0.662663,0.933302,0.184284,0.719178,0.075911,0.395098,Bad
1,0.660661,0.933302,0.386328,0.979486,0.346453,0.37099,Bad
1,0.095095,0.941391,0.219839,0.678451,0.096728,0.479308,Bad
1,0.103103,0.853912,0.237509,0.611398,0.189756,0.343811,Bad
1,0.179179,0.519663,0.196962,0.533341,0.247614,0.237614,Bad
1,0.191191,0.983471,0.338967,0.587314,0.119759,0.444563,Bad
1,0.682683,0.99141,0.250534,0.48031,0.077203,0.245992,Bad
1,0.662663,0.933302,0.254135,0.602122,0.102988,0.50518,Bad
1,0.564565,0.933302,0.717797,0.597816,0.145022,0.346529,Bad
1,0.192192,0.996297,0.284302,0.541058,0.177157,0.281539,Bad
0,0.193193,0.848974,0.235097,0.445511,0.250569,0.188394,Bad
1,0.572573,0.933302,0.438813,0.461993,0.113289,0.224334,Bad
0,0.271271,0.848974,0.279213,0.428605,0.179244,0.121117,Bad
1,0.665666,0.964858,0.444119,0.486066,0.110683,0.301537,Bad
1,0.159159,0.898694,0.178984,0.495545,0.208147,0.287461,Bad
1,0.708709,0.933302,0.302523,0.837732,0.361443,0.375004,Bad
1,0.24024,0.973652,0.309318,0.587734,0.240659,0.308397,Bad
1,0.411411,0.933302,0.375164,0.470461,0.178722,0.292067,Bad
